City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,howard springs,-11.8996,135.9636,27.93,73,21,7.38,AU,1731299299
84,ziro,27.9343,93.949,15.9,42,13,0.55,IN,1731299303
85,san jose,10.5641,118.4272,28.47,76,99,3.44,PH,1731299305
86,pavilosta,57.2535,20.2064,7.33,74,100,7.0,LV,1731299306
87,san dionisio ocotepec,16.6939,-96.2268,16.28,85,94,1.19,MX,1731299310
88,guankou,28.039,113.9623,24.87,49,0,1.61,CN,1731299311
89,angaur state,7.2818,133.1383,28.77,69,9,0.48,PW,1731299312
90,cepin,45.5259,18.4763,2.45,66,4,1.53,HR,1731299315
91,laojunmiao,36.9378,97.2592,2.15,42,29,3.23,CN,1731299317
92,zintan,31.3062,12.3274,16.38,46,51,2.86,LY,1731299318
93,weno,9.2503,149.8361,29.18,72,38,3.0,FM,1731299319
94,aasiaat,68.6872,-54.0635,-3.02,83,100,6.02,GL,1731299321
95,greenville,38.8938,-89.2667,11.16,82,0,2.69,US,1731299324
96,santa elena de uairen,5.1606,-62.7236,22.19,96,100,0.35,VE,1731299325
97,valdez,0.6795,-78.7905,21.85,93,100,0.75,EC,1731299329
98,kiffa,16.6818,-11.3494,23.79,15,57,4.61,MR,1731299331
99,luwuk,-0.1735,122.1145,28.73,71,100,0.92,ID,1731299335
100,mount isa,-21.772,140.4897,40.55,12,72,3.57,AU,1731299336
101,chernyshevskiy,63.6917,112.6141,-16.09,97,100,3.13,RU,1731299339
102,sawang daen din,17.0721,103.6368,28.56,50,92,2.33,TH,1731299342
103,encantado,-29.2205,-51.8078,15.03,89,0,0.97,BR,1731299343
104,phalaborwa,-24.0187,31.8669,22.22,87,100,4.03,ZA,1731299346
105,lionel town,17.1924,-77.293,28.47,73,14,2.66,JM,1731299347
106,salaqi,40.5439,110.6146,12.18,21,99,6.96,CN,1731299349
107,mao,15.7495,14.4523,20.41,32,21,4.5,TD,1731299350
108,aleksandrow lodzki,51.8465,19.3391,1.81,95,100,1.54,PL,1731299351
109,mocimboa,-11.3325,40.5642,26.6,75,0,4.0,MZ,1731299353
110,kamyzyak,45.2067,48.3998,6.73,74,39,3.19,RU,1731299355
111,dudinka,71.4333,83.3062,-20.54,100,99,4.65,RU,1731299357
112,ust-tsilma,66.727,51.1373,-10.4,94,40,1.52,RU,1731299358
113,dolbeau-mistassini,50.3094,-72.5351,0.37,99,100,1.08,CA,1731299364
114,turkestan,42.778,68.0418,6.38,57,12,3.45,KZ,1731299365
115,verkhnevilyuysk,62.3056,121.1531,-13.8,96,100,3.0,RU,1731299372
116,muynoq,44.5926,59.1265,8.14,70,69,6.62,UZ,1731299374
117,miquelon,47.8756,-56.0271,-0.04,78,60,4.39,CA,1731299375
118,wingham,-32.0063,152.2973,20.6,64,97,3.42,AU,1731299378
119,creswell,43.887,-122.4854,3.77,93,100,2.13,US,1731299379
120,chengde,41.3319,118.4828,4.82,64,97,4.63,CN,1731299383
121,maluso,5.7118,122.2858,28.44,72,100,0.62,PH,1731299384
122,makueni boma,-2.5349,38.0559,20.55,89,92,1.99,KE,1731299389
123,san agustin acasaguastlan,15.0023,-89.8654,19.63,96,95,1.54,GT,1731299392
124,lomza,53.2678,22.2708,0.36,74,96,2.74,PL,1731299396
125,friedrichsthal,49.3389,7.1114,5.08,95,100,0.51,DE,1731299399
126,aldinga beach,-35.5286,138.113,20.21,65,60,7.15,AU,1731299400
127,penhalonga,-18.4779,33.055,25.39,45,19,0.85,ZW,1731299403
128,qusmuryn,50.9394,64.4616,-4.13,87,88,5.57,KZ,1731299404
129,siavonga,-16.8372,28.322,28.28,46,29,4.56,ZM,1731299405
130,iraucuba,-3.6474,-39.9613,24.39,77,66,1.42,BR,1731299406
131,prince george,55.1673,-122.339,-5.3,82,100,0.27,CA,1731299408
132,lakes of the four seasons,41.2401,-87.2075,11.37,83,2,1.34,US,1731299411
133,murzuq,26.2699,13.6712,15.62,35,87,2.7,LY,1731299412
134,tosontsengel,48.8319,98.9462,-2.96,43,10,4.3,MN,1731299413
135,nova vicosa,-18.3256,-38.1543,24.78,77,99,8.27,BR,1731299418
136,gavirate,45.8865,8.7188,7.55,78,8,1.92,IT,1731299420
137,las lomitas,-23.9065,-60.0475,23.93,49,0,3.02,AR,1731299422
138,zheleznogorsk,56.7717,93.9324,-0.42,79,100,6.58,RU,1731299423
139,visalia,36.434,-119.249,11.06,71,0,0.0,US,1731299424
140,yaring,7.9688,101.6643,28.16,77,86,4.33,TH,1731299426
141,shohimardon,39.4738,71.6871,-7.14,89,100,1.47,TJ,1731299429
142,nove mesto na morave,49.5832,16.1036,1.77,84,1,0.89,CZ,1731299430
143,salavat,53.4941,55.9215,-7.26,94,41,1.09,RU,1731299435
144,wotho,10.0641,166.3137,28.54,76,13,7.89,MH,1731299436
145,tannum sands,-23.1485,151.9932,24.93,72,82,3.2,AU,1731299437
146,wanning,17.9457,111.1694,26.08,87,100,15.05,CN,1731299442
147,lensk,60.6349,116.0852,-7.44,87,82,2.44,RU,1731299445
148,ytyk-kyuyel',62.2656,134.0046,-15.23,90,97,1.0,RU,1731299448
149,luang prabang,19.553,102.1771,30.06,36,32,1.41,LA,1731299449
150,huilong,32.0489,121.7634,18.0,74,1,4.48,CN,1731299451
151,nagqu,32.4108,91.7549,2.49,20,89,6.9,CN,1731299452
152,iwanai,43.2645,139.9009,7.58,56,2,7.8,JP,1731299453
153,tobol'sk,59.0178,67.5741,-9.23,79,95,6.68,RU,1731299455
154,puerto aysen,-44.5293,-72.1944,-0.08,99,98,2.84,CL,1731299459
155,laminusa,5.5646,121.1621,28.26,73,100,1.42,PH,1731299460
156,san bernardo del viento,10.1821,-76.4912,27.49,80,78,10.06,CO,1731299463
157,pankshin,9.1468,9.345,21.4,31,85,3.08,NG,1731299467
158,erenhot,44.6933,113.4599,3.07,29,4,7.0,MN,1731299469
159,santa vitoria do palmar,-33.123,-52.8714,16.88,92,10,2.98,BR,1731299470
160,puerto francisco de orellana,-1.0339,-75.8978,22.12,99,97,0.94,EC,1731299471
161,holmsund,63.4675,20.3154,3.35,84,100,7.41,SE,1731299473
162,ambam,2.4932,10.9868,20.24,97,100,1.0,CM,1731299474
163,colombo,6.7986,78.922,28.46,70,29,6.13,LK,1731299476
164,fort st. john,61.0429,-120.705,-9.54,96,100,2.83,CA,1731299479
165,lexington,40.5831,-100.1522,9.61,57,3,2.49,US,1731299483
166,wanxian,30.6992,108.6753,17.53,62,89,1.45,CN,1731299485
167,the pas,53.7404,-102.0606,-0.47,87,0,3.33,CA,1731299493
168,albuquerque,35.0032,-106.2723,5.42,64,40,0.45,US,1731299494
169,mahenge,-8.6013,37.7285,24.36,74,46,2.95,TZ,1731299498
170,ahlat,38.6872,42.2984,2.96,46,94,0.83,TR,1731299499
171,keningau,4.6417,116.695,28.01,66,87,0.37,MY,1731299500
172,santa isabel,17.0228,-66.6357,28.26,73,100,4.13,PR,1731299503
173,geraldton,-26.9717,114.9423,33.14,13,0,5.34,AU,1731299505
174,boende,0.9046,20.3862,19.93,95,99,0.78,CD,1731299506
175,turpan,39.4217,89.4808,13.6,40,73,5.42,CN,1731299507
176,ostashkov,56.9072,33.0547,-1.32,86,93,0.74,RU,1731299509
177,zwijndrecht,51.2685,4.3482,10.55,94,100,2.57,BE,1731299510
178,rio turbio,-51.723,-71.7188,2.97,93,72,3.69,AR,1731299511
179,kitimat,52.4281,-127.8699,2.71,99,100,0.6,CA,1731299513
180,paso de los libres,-29.4301,-57.1206,19.99,57,0,2.59,AR,1731299514
181,geneina,13.7046,23.1857,20.6,31,98,5.28,SD,1731299515
182,wad medani,14.7535,34.3443,28.53,40,8,6.73,SD,1731299517
183,timbiqui,2.5452,-77.4125,22.08,100,100,0.58,CO,1731299523
184,kodinsk,60.9643,100.415,-7.85,93,96,3.89,RU,1731299524
185,midland,44.5577,-84.3659,8.11,94,100,5.58,US,1731299529
186,chapadinha,-4.0523,-43.3932,23.68,87,57,2.44,BR,1731299530
187,zapala,-39.1342,-70.5919,-4.33,91,95,12.46,AR,1731299531
188,louhans,46.8622,5.2938,6.92,89,4,3.09,FR,1731299533
189,san sebastian de la gomera,26.4486,-17.9272,23.17,82,7,6.97,ES,1731299537
190,khandyga,62.2785,138.2103,-19.09,98,100,0.31,RU,1731299538
191,syumsi,56.8326,51.5468,-2.3,92,93,3.36,RU,1731299540
192,wagar,16.884,35.7134,27.29,60,97,5.71,SD,1731299541
193,solone,48.2568,34.8725,3.58,86,19,2.77,UA,1731299543
194,zangguy,36.4934,77.4772,-12.33,39,6,3.33,CN,1731299544
195,langsa,4.9302,98.2593,27.87,76,95,1.11,ID,1731299547
196,nedelino,41.4874,25.2616,0.3,83,43,1.87,BG,1731299548
197,novi vinodolski,45.2049,14.8409,3.38,71,0,4.73,HR,1731299550
198,korsakov,46.2523,143.7064,4.42,56,2,8.96,RU,1731299551
199,zambezi,-13.8579,22.8057,20.99,82,7,3.64,ZM,1731299552
200,salinopolis,0.2342,-47.3112,27.62,77,39,6.67,BR,1731299555
201,ostersund,63.4164,14.4004,-0.27,88,98,1.39,SE,1731299556
